name,nameascii,adm0name,adm0_a3,scalerank,natscale,labelrank,featurecla,pop_max,pop_min,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,centered_x_int,centered_y_int,region_id,population_weight,network_weight,security_weight,financial_weight,cultural_weight,government_weight
Tianjin,Tianjin,China,CHN,2,200,1,Admin-1 capital,7180000,3766207,117.196607282088,39.0827717619797,4127.73065669567,623.850392194727,4128,624,1627.73065669567,-376.149607805274,1628,-376,china,2.6,8.5,9,8,5.55,8.6
Chongqing,Chongqing,China,CHN,2,200,1,Admin-1 capital,6461000,3967028,106.5930358,29.5669229,3980.45883055556,756.014959722222,3980,756,1480.45883055556,-243.985040277778,1480,-244,china,2.42,8.5,9,8,5.46,8.6
Shenyeng,Shenyeng,China,CHN,2,200,1,Admin-1 capital,4787000,3512192,123.4480277,41.8069251,4214.55594027778,586.014929166667,4215,586,1714.55594027778,-413.985070833333,1715,-414,china,1.98,8.5,9,8,5.24,8.6
Dongguan,Dongguan,China,CHN,2,200,1,Populated place,4528000,4528000,113.750474065477,23.021537388508,4079.86769535385,846.923091826278,4080,847,1579.86769535385,-153.076908173722,1580,-153,china,1.92,8.5,9,8,5.21,8.6
Chengdu,Chengdu,China,CHN,1,300,1,Admin-1 capital,4123000,3950437,104.0680736,30.6719459,3945.38991111111,740.667418055556,3945,741,1445.38991111111,-259.332581944444,1445,-259,china,1.81,8.5,9,8,5.16,8.6
Xian,Xian,China,CHN,2,200,1,Admin-1 capital,4009000,3225812,108.8930504,34.2769713,4012.40347777778,690.597620833333,4012,691,1512.40347777778,-309.402379166667,1512,-309,china,1.78,8.5,9,8,5.14,8.6
Hechi,Hechi,China,CHN,7,20,1,Populated place,3830000,2720379,108.082999504014,24.6952521342519,4001.15277088909,823.677053690945,4001,824,1501.15277088909,-176.322946309055,1501,-176,china,1.73,8.5,9,8,5.12,8.6
Nanjing,Nanjing,China,CHN,2,200,1,Admin-1 capital,3679000,3087010,118.7780285,32.051965,4149.69484027778,721.500486111111,4150,722,1649.69484027778,-278.499513888889,1650,-278,china,1.7,8.5,9,8,5.1,8.6
Guiyang,Guiyang,China,CHN,2,200,1,Admin-1 capital,3662000,1171633,106.7180928,26.5819888,3982.19573333333,797.472377777778,3982,797,1482.19573333333,-202.527622222222,1482,-203,china,1.69,8.5,9,8,5.09,8.6
Harbin,Harbin,China,CHN,2,200,1,Admin-1 capital,3621000,3229883,126.648039,45.7519298,4259.00054166667,531.223197222222,4259,531,1759.00054166667,-468.776802777778,1759,-469,china,1.68,8.5,9,8,5.09,8.6
