name,country_source,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,source,source_line
Boise,"USA, ID",-116.2,43.616667,886.11,560.88,886,561,-1613.89,-439.12,TeX Live pst-geo cities.data,135
Bologna,Italien,11.333333,44.5,2657.41,548.61,2657,549,157.41,-451.39,TeX Live pst-geo cities.data,136
Bombay,Indien,72.833333,18.966667,3511.57,903.24,3512,903,1011.57,-96.76,TeX Live pst-geo cities.data,137
Bonn,Deutschland,7.1,50.733333,2598.61,462.04,2599,462,98.61,-537.96,TeX Live pst-geo cities.data,138
Boras,Schweden,12.916667,57.733333,2679.4,364.81,2679,365,179.4,-635.19,TeX Live pst-geo cities.data,139
Bordeaux,Frankreich,-0.566667,44.833333,2492.13,543.98,2492,544,-7.87,-456.02,TeX Live pst-geo cities.data,140
Boston,"USA, MA",-71.05,42.35,1513.19,578.47,1513,578,-986.81,-421.53,TeX Live pst-geo cities.data,141
Bottrop,Deutschland,6.916667,51.516667,2596.06,451.16,2596,451,96.06,-548.84,TeX Live pst-geo cities.data,142
Boulder,"USA, CO",-105.283333,40.016667,1037.73,610.88,1038,611,-1462.27,-389.12,TeX Live pst-geo cities.data,143
Boulogne,Frankreich,1.616667,50.716667,2522.45,462.27,2522,462,22.45,-537.73,TeX Live pst-geo cities.data,144
Bozen,Italien,11.366667,46.516667,2657.87,520.6,2658,521,157.87,-479.4,TeX Live pst-geo cities.data,145
Bradford,Großbritannien,-1.75,53.8,2475.69,419.44,2476,419,-24.31,-580.56,TeX Live pst-geo cities.data,146
Braga,Portugal,-8.433333,41.533333,2382.87,589.81,2383,590,-117.13,-410.19,TeX Live pst-geo cities.data,147
Braila,Rumänien,27.966667,45.283333,2888.43,537.73,2888,538,388.43,-462.27,TeX Live pst-geo cities.data,148
Brasilia,Brasilien,-47.916667,-15.783333,1834.49,1385.88,1834,1386,-665.51,385.88,TeX Live pst-geo cities.data,149
Bratislava,Slovakei,17.166667,48.166667,2738.43,497.69,2738,498,238.43,-502.31,TeX Live pst-geo cities.data,150
Braunau,Österreich,13.033333,48.266667,2681.02,496.3,2681,496,181.02,-503.7,TeX Live pst-geo cities.data,151
Braunschweig,Deutschland,10.533333,52.266667,2646.3,440.74,2646,441,146.3,-559.26,TeX Live pst-geo cities.data,152
Brazzaville,Kongo,15.233333,-4.233333,2711.57,1225.46,2712,1225,211.57,225.46,TeX Live pst-geo cities.data,153
Bregenz,Österreich,9.766667,47.5,2635.65,506.94,2636,507,135.65,-493.06,TeX Live pst-geo cities.data,154
Bremen,Deutschland,8.8,53.083333,2622.22,429.4,2622,429,122.22,-570.6,TeX Live pst-geo cities.data,155
Bremerhaven,Deutschland,8.583333,53.55,2619.21,422.92,2619,423,119.21,-577.08,TeX Live pst-geo cities.data,156
Breslau,Polen,17.0,51.083333,2736.11,457.18,2736,457,236.11,-542.82,TeX Live pst-geo cities.data,157
Bridgeport,"USA, CT",-73.183333,41.183333,1483.56,594.68,1484,595,-1016.44,-405.32,TeX Live pst-geo cities.data,158
Bridgetown,Barbados,-59.616667,13.1,1671.99,984.72,1672,985,-828.01,-15.28,TeX Live pst-geo cities.data,159
Brisbane,Australien,153.016667,-27.5,4625.23,1548.61,4625,1549,2125.23,548.61,TeX Live pst-geo cities.data,160
Bristol,Großbritannien,-2.583333,51.45,2464.12,452.08,2464,452,-35.88,-547.92,TeX Live pst-geo cities.data,161
Brno,Tschechien,16.666667,49.216667,2731.48,483.1,2731,483,231.48,-516.9,TeX Live pst-geo cities.data,162
Bromberg,Polen,18.0,53.266667,2750.0,426.85,2750,427,250.0,-573.15,TeX Live pst-geo cities.data,163
Brownsville,"USA, TX",-97.5,25.9,1145.83,806.94,1146,807,-1354.17,-193.06,TeX Live pst-geo cities.data,164
Bruckmur,Österreich,15.283333,47.416667,2712.27,508.1,2712,508,212.27,-491.9,TeX Live pst-geo cities.data,165
Brügge,Belgien,3.233333,51.216667,2544.91,455.32,2545,455,44.91,-544.68,TeX Live pst-geo cities.data,166
Brüssel,Belgien,4.333333,50.833333,2560.19,460.65,2560,461,60.19,-539.35,TeX Live pst-geo cities.data,167
Buake,Elfenbeinküste,-5.0,7.7,2430.56,1059.72,2431,1060,-69.44,59.72,TeX Live pst-geo cities.data,168
Bucaramanga,Kolumbien,-73.166667,7.133333,1483.8,1067.59,1484,1068,-1016.2,67.59,TeX Live pst-geo cities.data,169
Budapest,Ungarn,19.083333,47.5,2765.05,506.94,2765,507,265.05,-493.06,TeX Live pst-geo cities.data,170
Buenos Aires,Argentinien,-58.45,-34.6,1688.19,1647.22,1688,1647,-811.81,647.22,TeX Live pst-geo cities.data,171
Buffalo,"USA, NY",-78.866667,42.883333,1404.63,571.06,1405,571,-1095.37,-428.94,TeX Live pst-geo cities.data,172
Bujumbura,Burundi,29.316667,-3.366667,2907.18,1213.43,2907,1213,407.18,213.43,TeX Live pst-geo cities.data,173
Bukarest,Rumänien,26.1,44.433333,2862.5,549.54,2862,550,362.5,-450.46,TeX Live pst-geo cities.data,174
Bukavu,Zaire,28.833333,-2.5,2900.46,1201.39,2900,1201,400.46,201.39,TeX Live pst-geo cities.data,175
Bulawayo,Simbabwe,28.716667,-20.166667,2898.84,1446.76,2899,1447,398.84,446.76,TeX Live pst-geo cities.data,176
Buraidah,Saudi-Arabien,43.983333,26.333333,3110.88,800.93,3111,801,610.88,-199.07,TeX Live pst-geo cities.data,177
Burgas,Bulgarien,27.483333,42.5,2881.71,576.39,2882,576,381.71,-423.61,TeX Live pst-geo cities.data,178
Burlington,"USA, VT",-73.216667,44.483333,1483.1,548.84,1483,549,-1016.9,-451.16,TeX Live pst-geo cities.data,179
Bursa,Türkei,29.066667,40.2,2903.7,608.33,2904,608,403.7,-391.67,TeX Live pst-geo cities.data,180
